team,team_key,conference,source,rating
Ohio State,ohio state,Big Ten,fpi,28.676
Ohio State,ohio state,Big Ten,sp_plus,32.7
Ohio State,ohio state,Big Ten,talent,27.7345
Ohio State,ohio state,Big Ten,meta:blue_chip_ratio,0.7045
Ohio State,ohio state,Big Ten,meta:returning_ppa,355.9
Ohio State,ohio state,Big Ten,meta:sp_defense,8.4
Ohio State,ohio state,Big Ten,meta:sp_offense,41.0
Ohio State,ohio state,Big Ten,meta:sp_special,0.1
Ohio State,ohio state,Big Ten,meta:talent_raw,38.3908
Oregon,oregon,Big Ten,fpi,25.276
Oregon,oregon,Big Ten,sp_plus,29.2
Oregon,oregon,Big Ten,talent,21.433
Oregon,oregon,Big Ten,meta:blue_chip_ratio,0.6316
Oregon,oregon,Big Ten,meta:returning_ppa,373.3
Oregon,oregon,Big Ten,meta:sp_defense,12.2
Oregon,oregon,Big Ten,meta:sp_offense,41.1
Oregon,oregon,Big Ten,meta:sp_special,0.3
Oregon,oregon,Big Ten,meta:talent_raw,37.6289
Notre Dame,notre dame,FBS Independents,fpi,25.856
Notre Dame,notre dame,FBS Independents,sp_plus,26.5
Notre Dame,notre dame,FBS Independents,talent,26.2673
Notre Dame,notre dame,FBS Independents,meta:blue_chip_ratio,0.701
Notre Dame,notre dame,FBS Independents,meta:returning_ppa,175.6
Notre Dame,notre dame,FBS Independents,meta:sp_defense,14.3
Notre Dame,notre dame,FBS Independents,meta:sp_offense,40.6
Notre Dame,notre dame,FBS Independents,meta:sp_special,0.3
Notre Dame,notre dame,FBS Independents,meta:talent_raw,38.2134
Georgia,georgia,SEC,fpi,24.837
Georgia,georgia,SEC,sp_plus,26.4
Georgia,georgia,SEC,talent,31.214
Georgia,georgia,SEC,meta:blue_chip_ratio,0.7843
Georgia,georgia,SEC,meta:returning_ppa,248.1
Georgia,georgia,SEC,meta:sp_defense,12.9
Georgia,georgia,SEC,meta:sp_offense,38.7
Georgia,georgia,SEC,meta:sp_special,0.6
Georgia,georgia,SEC,meta:talent_raw,38.8115
Indiana,indiana,Big Ten,fpi,23.14
Indiana,indiana,Big Ten,sp_plus,25.8
Indiana,indiana,Big Ten,talent,7.0658
Indiana,indiana,Big Ten,meta:blue_chip_ratio,0.2297
Indiana,indiana,Big Ten,meta:returning_ppa,97.9
Indiana,indiana,Big Ten,meta:sp_defense,12.5
Indiana,indiana,Big Ten,meta:sp_offense,37.8
Indiana,indiana,Big Ten,meta:sp_special,0.5
Indiana,indiana,Big Ten,meta:talent_raw,35.8918
Texas,texas,SEC,fpi,26.914
Texas,texas,SEC,sp_plus,22.8
Texas,texas,SEC,talent,29.526
Texas,texas,SEC,meta:blue_chip_ratio,0.6292
Texas,texas,SEC,meta:returning_ppa,187.5
Texas,texas,SEC,meta:sp_defense,14.9
Texas,texas,SEC,meta:sp_offense,37.3
Texas,texas,SEC,meta:sp_special,0.4
